conversationId,inbound,outbound
66ebe00fb8d4a225aa7e87f8,P,Test auto assign by reply thr room chat unassigned
66ef98f53a84b963ffbb1b97,Tes,
66ef98f53a84b963ffbb1ba0,,Tes
66f0e6323a84b963ffbb4f3c,,"Terima kasih menjadi customer setia kami!, mari antar paketmu ke kami dan paketmu sampai esok hari :) | Broadcast - SAP Monday, September 9, 2024 (37) 14:38 PM2
Terima kasih menjadi customer setia kami!, mari antar paketmu ke kami dan paketmu sampai esok hari :) | Broadcast - SAP Monday, September 9, 2024 (37) 14:38 PM2
Terima kasih menjadi customer setia kami!, mari antar paketmu ke kami dan paketmu sampai esok hari :) | Broadcast - SAP Monday, September 9, 2024 (37) 14:38 PM2
Terima kasih menjadi customer setia kami!, mari antar paketmu ke kami dan paketmu sampai esok hari :) | Broadcast - SAP Monday, 23/09 2
Terima kasih menjadi customer setia kami!, mari antar paketmu ke kami dan paketmu sampai esok hari :) | Broadcast - SAP Monday, 23/09 2
Terima kasih menjadi customer setia kami!, mari antar paketmu ke kami dan paketmu sampai esok hari :) | Broadcast - SAP Monday, 23/09 2
Terima kasih menjadi customer setia kami!, mari antar paketmu ke kami dan paketmu sampai esok hari :) | Broadcast - SAP Monday, 23/09 3
Terima kasih menjadi customer setia kami!, mari antar paketmu ke kami dan paketmu sampai esok hari :) | Broadcast - SAP Monday, 23/09 4"
66f0e6b13a84b963ffbb4fa8,,"Terima kasih menjadi customer setia kami!, mari antar paketmu ke kami dan paketmu sampai esok hari :) | Broadcast - SAP Monday, September 9, 2024 (37) 14:38 PM2
Terima kasih menjadi customer setia kami!, mari antar paketmu ke kami dan paketmu sampai esok hari :) | Broadcast - SAP Monday, September 9, 2024 (37) 14:38 PM2
Terima kasih menjadi customer setia kami!, mari antar paketmu ke kami dan paketmu sampai esok hari :) | Broadcast - SAP Monday, 23/09 2
Terima kasih menjadi customer setia kami!, mari antar paketmu ke kami dan paketmu sampai esok hari :) | Broadcast - SAP Monday, 23/09 2
Terima kasih menjadi customer setia kami!, mari antar paketmu ke kami dan paketmu sampai esok hari :) | Broadcast - SAP Monday, 23/09 2
Terima kasih menjadi customer setia kami!, mari antar paketmu ke kami dan paketmu sampai esok hari :) | Broadcast - SAP Monday, 23/09 3
Terima kasih menjadi customer setia kami!, mari antar paketmu ke kami dan paketmu sampai esok hari :) | Broadcast - SAP Monday, 23/09 4"
66f13a93a5d4361ad993131c,,"Terima kasih menjadi customer setia kami!, mari antar paketmu ke kami dan paketmu sampai esok hari :) | Broadcast - SAP Monday, September 9, 2024 (37) 14:38 PM
postman : Leo Lee, your AWB number : AWB-8792852 
broadcast quotes : The future belongs to those who believe in the beauty of their dreams. – Eleanor Roosevelt 
2025-07-29T09:22:40.751Z
Pelanggan yang terhormat

Kurir kami telah mengantarkan paket Anda dengan order JSA1400127006315, namun tidak sukses terkirim karena PINDAH dan saat ini paket dalam proses pengembalian ke cabang.

Untuk detailnya dapat diakses ke https://www.sap-express.id"
66f231b765054d3a04c82b8a,"baik terima kasih
perlu
Kemana saja
However you want to be a good 👍
Hello selamat",
66f243047515325c91424f46,,"Pelanggan yang terhormat

Kurir kami telah mengantarkan paket Anda dengan order blast4, namun tidak sukses terkirim karena RUMAH KOSONG DIHUNI dan saat ini paket dalam proses pengembalian ke cabang.

Untuk detailnya dapat diakses ke https://www.sap-express.id

 #Sahabatpengiriman
 #Jagonyacod"
66f243047515325c91424f4a,,"Pelanggan yang terhormat

Kurir kami telah mengantarkan paket Anda dengan order blast7, namun tidak sukses terkirim karena ALAMAT TIDAK DIKETAHUI dan saat ini paket dalam proses pengembalian ke cabang.

Untuk detailnya dapat diakses ke https://www.sap-express.id

 #Sahabatpengiriman
 #Jagonyacod"
66f243047515325c91424f4d,,"Pelanggan yang terhormat

Kurir kami telah mengantarkan paket Anda dengan order blast3, namun tidak sukses terkirim karena ALAMAT TIDAK DIKETAHUI dan saat ini paket dalam proses pengembalian ke cabang.

Untuk detailnya dapat diakses ke https://www.sap-express.id

 #Sahabatpengiriman
 #Jagonyacod"
