Version,2.7.0
Date,2026-07-13
PM,Dany Christian
QA,Dany Christian
TechLead,Naftal Yunior

Checklist Type,Item,Status,Notes
Dev,Scope version 2.7.0 locked,,
Dev,All linked tickets deployed to target env,,
Dev,Critical bugfix dependency validated,,
Dev,Rollback path prepared,,
Dev,Release notes shared,,
QA,Smoke path identified,,
QA,Test data prepared,,
QA,Cross-browser target chosen,,
QA,Evidence links accessible,,
QA,Exit criteria agreed,,

No,Feature,Description,Enhancement,Evidence,Test Results,Notes,Tester,Date,Status,Severity,Browser,Build,ENV,Module,Priority
1,Whatsapp Web - inconsistency account channel status,Description :,No,https://project.ordo.co.id/wp/2052,,,,,In testing,Bug,,v2.7.0,Staging/Prod,SatuInbox,High
2,Fix RabbitMQ Ticket Service Restart Issue,Feature: Fix RabbitMQ Ticket Service Restart Issue,Yes,https://project.ordo.co.id/wp/2344,,,,,In testing,Feature,,v2.7.0,Staging/Prod,SatuInbox,Normal
3,Update baileys lib to v7 rc-10,Update the @whiskeysockets/baileys library to version 7 release candidate 10.,Yes,https://project.ordo.co.id/wp/1820,,,,,In testing,Feature,,v2.7.0,Staging/Prod,SatuInbox,Normal
4,Whatsapp API - conversation created without message,handle issue whatsapp api terkait conversation (WAPI CHANNEL) dengan kondisi tanpa message,No,https://project.ordo.co.id/wp/2227,,,,,In testing,Bug,,v2.7.0,Staging/Prod,SatuInbox,Normal
5,WhatsApp Group Messages - From Certain Participants Are Not Displayed in SatuInbox and Reply Context Is Missing,"An anomaly was found in WhatsApp Group conversations where messages from certain participants are successfully delivered and visible in the native WhatsApp application (mobile/web), but those messages do not appear in the SatuInbox Group Co",No,https://project.ordo.co.id/wp/2216,,,,,Tested,Bug,,v2.7.0,Staging/Prod,SatuInbox,High
6,Analitycs - report offline - Offline Report Status Not Updating on Pagination or Navigation,### Jam.dev Evidence,No,https://project.ordo.co.id/wp/1708,,,,,Tested,Bug,,v2.7.0,Staging/Prod,SatuInbox,Normal
7,Handle autofill data on mobile ( SALES FORM ),autofill form :,No,https://project.ordo.co.id/wp/2210,,,,,Tested,Bug,,v2.7.0,Staging/Prod,SatuInbox,Normal
8,Leads - Empty State Information Missing in Existing Contact Tab on Add Prospect,Jamdev :,No,https://project.ordo.co.id/wp/1834,,,,,Tested,Bug,,v2.7.0,Staging/Prod,SatuInbox,Normal
9,Leads - Invalid Validation on Company Phone Number and Email/Company Email Fields in New Contact Form,Jamdev :,No,https://project.ordo.co.id/wp/1823,,,,,Tested,Bug,,v2.7.0,Staging/Prod,SatuInbox,Normal
10,Notification - Incorrect Time Display in Notification Description (Using UTC Instead of Local Time),Jam.dev Evidence,No,https://project.ordo.co.id/wp/1572,,,,,Tested,Bug,,v2.7.0,Staging/Prod,SatuInbox,Normal
11,Settings-Subs-Payment -Invoice Filters & Export Not Working and Tab State Not Reset After Page Reload,### Jam.dev Evidence,No,https://project.ordo.co.id/wp/1089,,,,,Tested,Bug,,v2.7.0,Staging/Prod,SatuInbox,Normal
12,Ticket List - KPI Card Counter Not Synced During Real-Time Ticket List Pagination Update,### Jam.dev Evidence,No,https://project.ordo.co.id/wp/1810,,,,,Tested,Bug,,v2.7.0,Staging/Prod,SatuInbox,Normal
13,Leads - Visit Detail - Decision Section UI Not Matching Design,Jamdev : [https://jam.dev/c/c01e2046-56e8-4831-982b-8c6d4bd0e726](https://jam.dev/c/c01e2046-56e8-4831-982b-8c6d4bd0e726),No,https://project.ordo.co.id/wp/1625,,,,,Tested,Bug,,v2.7.0,Staging/Prod,SatuInbox,Low
14,Leads - Visit History - Late and Reschedule Badges Not Properly Arranged in Planned Column,Record :,No,https://project.ordo.co.id/wp/1619,,,,,Tested,Bug,,v2.7.0,Staging/Prod,SatuInbox,Low
15,Leads-Add Data-Filter Select - Checkbox Overlaps Text in Lead Contact Filter Selection UI,Jamdev :,No,https://project.ordo.co.id/wp/1814,,,,,Tested,Bug,,v2.7.0,Staging/Prod,SatuInbox,Low
16,Add global search config,add config for global search in organization,Yes,https://project.ordo.co.id/wp/2434,,,,,Closed,Feature,,v2.7.0,Staging/Prod,SatuInbox,Normal
17,Auth - change validation at onboarding (TEMP V2.7.0),## QUICK ACT (TEMP V2.7.0),Yes,https://project.ordo.co.id/wp/2277,,,,,Closed,User story,,v2.7.0,Staging/Prod,SatuInbox,Normal
18,Broadcast - Broadcast Can Be Sent Successfully Even When Token Balance Is Rp 0,### Jam.dev Evidence,No,https://project.ordo.co.id/wp/1207,,,,,Closed,Bug,,v2.7.0,Staging/Prod,SatuInbox,Normal
